ALARM_TYPE,ALARM_AREA,ALARM_ITEM_INDEX,ALARM_COMP_INDEX,ALARM_TIME,RECOVER_TIME,ALARM_CONTENTS,ALARM_GLOBINDEX,
DIGIT_ALARM,"2","0","0","2024-06-18 18:03:38","2024-06-18 19:22:59","手动模式！Manual mode！","2",
DIGIT_ALARM,"3","0","0","2024-06-18 18:03:38","2024-06-18 18:06:06","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"0","1","0","2024-06-18 18:06:34","2024-06-18 18:06:51","X0未检测到标签！X0 did not detect label!","0",
DIGIT_ALARM,"3","0","0","2024-06-18 18:06:51","2024-06-18 18:06:52","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"0","1","0","2024-06-18 18:16:28","2024-06-18 18:19:14","X0未检测到标签！X0 did not detect label!","0",
DIGIT_ALARM,"0","1","0","2024-06-18 18:16:28","2024-06-18 18:19:14","X0未检测到标签！X0 did not detect label!","0",
DIGIT_ALARM,"3","0","0","2024-06-18 18:19:18","2024-06-18 18:19:21","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"3","0","0","2024-06-18 18:19:32","2024-06-18 18:19:35","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"0","1","0","2024-06-18 18:28:50","2024-06-18 18:28:54","X0未检测到标签！X0 did not detect label!","0",
DIGIT_ALARM,"0","1","0","2024-06-18 18:29:00","2024-06-18 18:29:03","X0未检测到标签！X0 did not detect label!","0",
DIGIT_ALARM,"3","0","0","2024-06-18 18:29:43","2024-06-18 18:31:34","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"0","0","0","2024-06-18 18:41:55","2024-06-18 18:42:19","X1原点错误！X1 origin error!","0",
DIGIT_ALARM,"3","0","0","2024-06-18 18:42:19","2024-06-18 19:22:45","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"3","0","0","2024-06-18 18:42:19","2024-06-18 19:22:45","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"1","0","0","2024-06-18 19:22:59","2024-06-18 19:23:08","运行中！Running!","1",
DIGIT_ALARM,"0","3","0","2024-06-18 19:23:08","2024-06-18 19:23:18","X1复位异常！X1 reset abnormal!","0",
DIGIT_ALARM,"2","0","0","2024-06-18 19:23:08","2024-06-18 19:26:01","手动模式！Manual mode！","2",
DIGIT_ALARM,"3","0","0","2024-06-18 19:23:18","2024-06-18 19:25:47","X8急停按下！X8 emergency stop pressed!","3",
DIGIT_ALARM,"1","0","0","2024-06-18 19:26:01","2024-06-18 19:34:41","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-06-18 19:34:41","2024-06-18 19:39:39","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-06-18 19:39:39","2024-06-18 19:48:07","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-06-18 19:48:07","2024-07-04 16:42:12","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-06-18 19:39:39","2024-07-04 08:58:27","运行中！Running!","1",
DIGIT_ALARM,"1","0","0","2024-07-04 16:42:12","2024-07-04 16:42:17","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:42:17","2024-07-04 16:42:22","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:42:22","2024-07-04 16:42:23","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:42:23","2024-07-04 16:42:49","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:42:49","2024-07-04 16:42:50","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:42:50","2024-07-04 16:42:52","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:42:52","2024-07-04 16:42:53","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:42:53","2024-07-04 16:43:39","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:43:39","2024-07-04 16:44:19","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:44:19","2024-07-04 16:45:02","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:45:02","2024-07-04 16:46:24","运行中！Running!","1",
DIGIT_ALARM,"2","0","0","2024-07-04 16:46:24","2024-07-04 16:46:55","手动模式！Manual mode！","2",
DIGIT_ALARM,"1","0","0","2024-07-04 16:46:55","2024-07-04 16:47:32","运行中！Running!","1",
